yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1951,1,195101,1.5,-0.42,-1.47,-0.07,-0.81,-1.18,-0.74,0.23,-0.09,1.79,-99.9,56.1,1.72,37.4,-0.65,-0.65,-1.94,-0.65,0,846,-1.39,-0.68,-0.81,-0.54,0.22,-0.42,-0.13,26.2,48.5
1951,2,195102,0.9,0.35,-0.17,-0.58,-1.32,-2.11,-1.66,1.25,-1.3,1.23,-99.9,54.1,2.63,38.3,-0.79,-0.79,-0.64,-0.79,0,751,-0.2,-1.12,-0.74,-0.39,-0.36,-0.36,-0.13,26.2,50.3
1951,3,195103,-0.1,-1.47,-2.34,-0.29,0.2,-1.09,0.11,-0.91,-99.9,-1.29,-99.9,77.6,3.87,44,-0.61,-0.61,0.29,-0.61,0,651,0.17,0.01,-0.72,-0.9,-0.25,-0.25,0.05,33.4,54.6
1951,4,195104,-0.3,-0.38,0.42,-0.19,0.02,0.47,-2.31,-0.77,-99.9,-0.38,-99.9,66.3,3.85,53.2,-0.27,-0.27,0.86,0.37,0,347,0.48,0.33,0.15,-0.41,-0.39,0.16,0.11,41.1,65.2
1951,5,195105,-0.7,-0.5,-1.13,0.7,-0.04,1.19,0.93,0.5,-99.9,-0.19,-99.9,40.2,2.61,62.4,-0.72,-0.72,-1.46,-0.72,50,121,-0.96,-0.39,-0.29,-0.69,-0.42,-0.45,-0.2,49.5,75.4
1951,6,195106,0.2,-1.35,-0.08,0.1,-0.62,-0.54,1.91,-0.02,-99.9,1.32,-99.9,68.9,6.1,71.2,1.05,1.05,3.14,1.05,202,6,1.43,0.45,0.56,-0.13,-0.39,0,-0.06,59.8,82.6
1951,7,195107,-1,1.39,-0.58,0.88,0.98,-0.44,-0.86,-1.57,-99.9,0.47,-99.9,44.5,3.86,75,-0.18,0.76,-0.55,0.26,328,0,-0.49,0.76,0.1,0.06,-0.36,-0.33,-0.24,63.2,86.7
1951,8,195108,-0.2,-0.41,0.69,0.73,0.41,0.02,-3.26,1.53,-99.9,0.17,-0.92,54.8,3.41,73.4,-0.42,-0.42,-0.77,-0.42,271,0,-0.37,-0.66,0.25,-0.07,-0.44,-0.27,-0.77,61.8,84.9
1951,9,195109,-1.1,-1.18,0.56,-3.45,1.42,-0.08,-0.26,-0.82,-99.9,-0.8,0.57,59.2,2.06,67.1,-0.93,-0.93,-1.64,-0.93,117,39,-0.73,-0.93,-1.04,-0.39,-0.76,-0.91,-0.86,55,79.2
1951,10,195110,-1,2.54,-0.68,-0.47,-0.11,0.43,0.59,0.78,-99.9,-0.28,-99.9,55.2,1.63,59,-1.66,-1.66,-2.5,-1.66,26,204,-0.88,-1.34,-1.4,-0.9,-0.77,-1.07,-1.07,47.1,70.8
1951,11,195111,-0.8,-0.54,0.11,0.62,0.62,0.21,0.48,0.43,-99.9,2.32,-99.9,40.5,4.54,41,0.42,-1.07,1.25,-0.37,0,707,1.1,0.14,-0.39,-0.14,-0.31,-0.66,-0.74,29.7,52.2
1951,12,195112,-0.7,1.13,0.21,0.2,-99.9,-1.59,0.04,-0.71,0.58,0.47,-99.9,69,4.43,38.5,0.99,0.99,1.85,0.99,0,815,0.94,1.34,0.53,-0.45,-0.03,-0.44,-0.39,27.8,49.2
1952,1,195201,-0.9,0.57,-2.26,1.43,1.59,-3.19,-1.07,-0.5,-0.21,-0.27,-99.9,85.2,4.77,40.2,1.5,1.5,1.82,1.5,0,775,1.14,1.33,1.6,0.07,0.17,0.13,-0.18,30.2,50.1
