yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1951,9,195109,-1.1,-1.18,0.56,-3.45,1.42,-0.08,-0.26,-0.82,-99.9,-0.8,0.57,59.2,2.06,67.1,-0.93,-0.93,-1.64,-0.93,117,39,-0.73,-0.93,-1.04,-0.39,-0.76,-0.91,-0.86,55,79.2
1951,10,195110,-1,2.54,-0.68,-0.47,-0.11,0.43,0.59,0.78,-99.9,-0.28,-99.9,55.2,1.63,59,-1.66,-1.66,-2.5,-1.66,26,204,-0.88,-1.34,-1.4,-0.9,-0.77,-1.07,-1.07,47.1,70.8
1951,11,195111,-0.8,-0.54,0.11,0.62,0.62,0.21,0.48,0.43,-99.9,2.32,-99.9,40.5,4.54,41,0.42,-1.07,1.25,-0.37,0,707,1.1,0.14,-0.39,-0.14,-0.31,-0.66,-0.74,29.7,52.2
1952,9,195209,-0.2,-0.38,-2.13,-1.94,0.35,0.4,-1.68,-0.7,-99.9,-0.77,0.87,54.6,3.12,65.8,-0.91,-0.91,-0.5,-0.45,97,55,-0.01,0.45,0.04,-0.01,0.48,0.66,-0.18,53.5,78.2
1952,10,195210,0.4,-0.28,-0.54,1.39,1.1,1.05,-0.42,1.78,-99.9,0.16,-99.9,51.2,1.45,52.7,-1.46,-1.46,-1.94,-1.46,3,373,-1.04,-0.86,-0.2,-0.71,-0.17,0.66,-0.3,38.8,66.5
1952,11,195211,0,-1.32,-1.43,0.61,-0.62,0.77,-1.55,1.24,-99.9,-0.05,-99.9,69.4,5.13,46.1,0.52,-0.79,1.55,0.13,0,554,1.4,0.31,0.09,-0.11,0.37,0.74,0.04,34.9,57.2
1953,9,195309,-1.2,-0.19,-0.24,-0.86,0.12,-0.14,0.58,0.24,-99.9,1.25,0.57,52.3,2.69,67.1,-2.2,-2.2,-1.59,-2.2,117,40,-0.27,-0.84,-1.57,-1.13,-0.72,-0.55,0.09,53.5,80.7
1953,10,195310,0.1,1.95,-0.43,0.36,-0.52,2.27,0,1.23,-99.9,-0.58,-99.9,50.1,1.59,58.4,-2.93,-2.93,-2.88,-2.93,21,221,-0.92,-1.01,-1.34,-1.54,-1.1,-0.56,0.04,44,72.8
1953,11,195311,-0.3,0.96,0.18,-0.44,-2.15,1.57,0.16,0.02,-99.9,-1.45,-99.9,78,1.46,45.3,-3.73,-3.73,-3.28,-3.73,0,581,-0.99,-1.39,-1.32,-2.18,-1.52,-1.27,-0.4,32,58.6
1954,9,195409,0.2,-0.28,0.64,0.94,0.31,-0.04,-1.04,-0.95,-99.9,0.23,-1.26,58.4,1.48,70.2,-3.79,-3.79,-3.07,-3.79,184,15,-1.35,-1.11,-1.25,-1.36,-1.12,-1.48,-1.69,56,84.4
