yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,CAPCP,CATAVG,CAPDSI,CAPHDI,CAZNDX,CAPMDI
1951,3,195103,-0.1,-1.47,-2.34,-0.29,0.2,-1.09,0.11,-0.91,-99.9,-1.29,-99.9,77.6,3.87,44,-0.61,-0.61,0.29,-0.61,0,651,0.17,0.01,-0.72,-0.9,-0.25,-0.25,0.05,33.4,54.6,2.34,30.2,1.48,1.48,0.49,0.89
1951,4,195104,-0.3,-0.38,0.42,-0.19,0.02,0.47,-2.31,-0.77,-99.9,-0.38,-99.9,66.3,3.85,53.2,-0.27,-0.27,0.86,0.37,0,347,0.48,0.33,0.15,-0.41,-0.39,0.16,0.11,41.1,65.2,2.27,34.54,1.62,1.62,0.89,1.31
1951,5,195105,-0.7,-0.5,-1.13,0.7,-0.04,1.19,0.93,0.5,-99.9,-0.19,-99.9,40.2,2.61,62.4,-0.72,-0.72,-1.46,-0.72,50,121,-0.96,-0.39,-0.29,-0.69,-0.42,-0.45,-0.2,49.5,75.4,2.6,38.55,1.78,1.78,0.98,1.78
1952,3,195203,0.5,-1.97,0.26,0.06,-2.13,-0.69,0.16,-0.39,-99.9,0.25,-99.9,61.6,5.09,43.5,1.71,1.71,1.94,1.71,0,671,0.98,0.67,1.09,1.05,0.15,0.41,0.11,32,55,2.35,49.73,1.65,1.65,0.15,1.65
1952,4,195204,-0.2,0.95,0.95,0.28,-2.44,0.89,0.12,1.01,-99.9,0.13,-99.9,66.2,4.53,54.8,2.04,2.04,1.52,2.04,4,300,0.99,1.29,0.98,1.59,0.56,0.51,0.51,43.3,66.3,2.37,60.76,0.92,0.92,1.66,0.01
1952,5,195205,0.8,-0.99,-0.18,0.93,0.06,-0.79,0.24,-0.38,-99.9,-0.81,-99.9,24.1,3.76,63.4,-0.08,1.75,-0.23,1.58,58,111,-0.08,0.61,0.99,1.34,0.72,0.74,0.22,51.1,75.6,3.44,66.65,1.54,1.54,2.14,1.54
1953,3,195303,-0.2,-0.45,-1.02,0.58,-2.29,-0.44,1.73,-1.16,-99.9,2.08,-99.9,75.5,4.66,45.9,0.7,0.7,1.08,0.7,0,595,0.71,0.65,0.6,0.46,0.26,0.22,0.43,35,56.8,2.85,73.69,1.64,1.64,0.78,1.64
1953,4,195304,0.2,-1.96,-0.02,-1.86,-0.07,0.78,-1.66,-0.19,-99.9,-0.01,-99.9,63.8,3.13,53.9,-0.07,-0.07,-0.22,0.55,2,330,-0.12,0.37,0.42,0.82,0.42,-0.06,0.36,41.9,65.8,2.61,71.89,1.62,1.62,0.42,1.62
1953,5,195305,-1.7,-0.56,-1.54,-0.51,-0.63,1.14,0.09,-0.53,-99.9,-0.81,-99.9,58,3.98,68.5,-0.35,-0.35,-0.86,-0.35,150,39,0.09,-0.02,0.33,0.23,0.19,-0.02,0.55,56.6,80.3,2.57,64.09,1.64,1.64,0.57,1.64
1954,3,195403,0.3,-1.27,-0.46,0.66,1.51,-1.44,0.48,0.38,-99.9,2.58,-99.9,87.3,4.07,44.2,-2.88,-2.88,0.52,-2.61,0,637,0.31,-0.41,0.15,-0.64,-1.54,-1.36,-0.78,32.5,56,2.3,54,1.67,1.67,0.59,1.67
1954,4,195404,0.6,1.31,-2.77,-0.53,0.08,-2.86,-0.29,-0.54,-99.9,-1.44,-99.9,78.8,2.74,58.8,-3.1,-3.1,-1.56,-3.1,14,204,-0.48,-0.16,-0.68,-0.34,-1.15,-1.41,-1.01,45.8,71.7,2.43,38.08,1.95,1.95,1.36,1.95
1954,5,195405,0.5,-0.03,-0.79,1.39,0.2,0.65,-2.13,0.31,-99.9,-1.95,-99.9,71,4.35,59.6,-2.41,-2.41,1.12,-1.89,27,177,0.36,-0.03,0.07,0.1,-0.74,-1.38,-1.03,47.8,71.4,3.12,31.23,2.69,2.69,2.82,2.69
1955,3,195503,0.6,-0.96,-1.37,0.51,-0.13,-2.47,0.25,-0.21,-99.9,-1.13,-99.9,70.8,5.21,47.4,0.84,-1.47,1.6,-0.28,4,549,1.05,1.1,0.18,0.62,-0.4,-0.63,-1.4,35.8,58.9,2.44,32,3.19,3.19,2.33,3.19
1955,4,195504,-0.1,-0.6,-1.52,1.18,-1.35,-0.24,-0.01,-0.14,-99.9,0.43,-99.9,53.2,3.4,57.7,-0.16,-1.48,-0.48,-0.48,10,230,0.11,0.79,0.95,0.22,-0.15,-0.52,-1.36,45.4,69.9,2,35.46,2.85,2.85,0.03,2.78
1955,5,195505,1,-0.26,0.51,-0.26,-1.61,-0.42,0.92,-1.27,-99.9,-0.09,-99.9,56.9,2.84,65.1,-0.69,-1.87,-1.64,-1.46,86,78,-0.78,-0.52,0.19,-0.15,-0.19,-0.83,-1.61,52.4,77.9,2.93,37.69,3.28,3.28,2.18,3.28
1956,3,195603,1.3,-0.46,-0.39,0.11,-1.13,-0.97,0.33,0.9,-99.9,1.53,-99.9,59.8,3.38,43.5,0.41,-0.81,-0.29,0.02,0,672,-0.2,0.65,-0.13,-1.35,-0.23,-0.34,-0.68,31.8,55.3,2.4,51.66,0.13,2.81,0.4,2.59
1956,4,195604,0.9,-1.3,-1.35,0.73,0.29,-0.17,-0.08,0.25,-99.9,-0.7,-99.9,59.7,3.47,52,0.55,-0.55,0.54,0.55,0,382,0.17,-0.14,0.55,-1.03,-0.08,-0.35,-0.57,40.1,63.9,2.69,60.58,0.35,2.29,0.68,1.74
1956,5,195605,1.4,2.1,-0.2,2,-0.05,-0.17,0.61,-0.82,-99.9,0.3,-99.9,47.3,2.55,63.2,-0.55,-1.05,-1.66,-0.66,54,115,-1,-0.65,-0.7,-1.17,-1.36,-0.42,-0.91,50.3,76.2,2.2,70.75,1.2,1.17,2.66,0.47
1957,3,195703,0.2,-1.73,0.11,-1.42,-0.56,0.78,0.45,-0.27,-99.9,-0.37,-99.9,71.1,2.72,44,-0.4,0.85,-1.21,0.1,0,648,-0.75,0.39,0.51,0.47,0.73,0.22,-0.08,33.7,54.3,2.39,74.1,1.85,1.85,2.33,1.85
1957,4,195704,0.2,0.39,-1.38,0.52,0.26,-0.41,-0.48,0.83,-99.9,0.07,-99.9,33.3,4.03,57.8,-0.25,0.88,0.35,0.27,10,225,0.62,-0.19,0.55,0.35,0.42,0.3,0.02,45.2,70.4,2.62,72.82,2.03,2.03,1.13,2.03
1957,5,195705,-0.7,-0.68,-1.72,0.46,0.85,1.24,-1.42,0.08,-99.9,-0.1,-99.9,81.7,2.56,65.1,-0.88,-0.88,-1.98,-0.88,86,79,-0.99,-0.31,-0.74,0.03,0.41,0.31,-0.08,52.6,77.6,1.53,65.89,2.94,2.94,3.35,2.94
1958,3,195803,0.3,-2.46,-1.02,0.76,0.45,0.18,2.15,0.28,-99.9,-0.4,-99.9,81.9,4.54,39.6,2.24,2.24,1.65,2.24,0,789,0.63,0.7,0.65,1.06,0.75,0.57,0.54,31.1,48,0.54,52.95,4.01,4.01,4.11,4.01
1958,4,195804,0.4,0.26,-1.21,0.89,0.73,0.31,0.38,1.31,-99.9,0.26,-99.9,57.6,4.59,54.2,2.57,2.57,1.69,2.57,1,321,1.04,1.05,1.03,1.36,1.49,0.66,0.7,42.8,65.5,2.15,39.92,3.98,3.98,1.14,3.98
1958,5,195805,-0.5,-0.17,1.17,1.91,0.11,0.66,-0.24,-0.34,-99.9,0.07,-99.9,24.3,4.93,62.7,2.74,2.74,1.31,2.74,53,118,0.78,1.21,1.26,1.37,1.73,1.13,1.1,51.4,74.1,2.45,33.44,4.08,4.08,1.53,4.08
