yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1951,6,195106,0.2,-1.35,-0.08,0.1,-0.62,-0.54,1.91,-0.02,-99.9,1.32,-99.9,68.9,6.1,71.2,1.05,1.05,3.14,1.05,202,6,1.43,0.45,0.56,-0.13,-0.39,0,-0.06,59.8,82.6
1951,7,195107,-1,1.39,-0.58,0.88,0.98,-0.44,-0.86,-1.57,-99.9,0.47,-99.9,44.5,3.86,75,-0.18,0.76,-0.55,0.26,328,0,-0.49,0.76,0.1,0.06,-0.36,-0.33,-0.24,63.2,86.7
1951,8,195108,-0.2,-0.41,0.69,0.73,0.41,0.02,-3.26,1.53,-99.9,0.17,-0.92,54.8,3.41,73.4,-0.42,-0.42,-0.77,-0.42,271,0,-0.37,-0.66,0.25,-0.07,-0.44,-0.27,-0.77,61.8,84.9
1952,6,195206,0.7,-0.1,-0.14,1.08,-0.25,0.53,-0.4,-0.56,-99.9,-1.61,-99.9,30.4,2.78,75.4,-0.71,0.93,-1.93,-0.19,313,0,-0.91,-0.65,-0.05,0.71,0.84,0.05,0.09,62.8,87.9
1952,7,195207,0.5,-0.06,0.52,-1.02,1.3,-1.57,-1.26,0.16,-99.9,0.94,-99.9,45.5,3.59,76.9,-1.3,-1.3,-2,-1.3,387,0,-0.72,-1.13,-0.89,-0.03,0.99,0.06,-0.19,64.6,89.2
1952,8,195208,0.1,-0.49,-0.16,-1.43,1.35,0.77,-0.95,-0.99,-99.9,1.26,-0.24,45.4,5.66,73.1,-0.83,-0.83,1.02,-0.14,271,1,0.9,0.22,-0.23,0.39,0.88,0.5,0.2,62.7,83.6
1953,6,195306,0.1,1.41,-1.32,-0.57,3.88,-1.6,-0.71,1.6,-99.9,-1.73,-99.9,55.8,3.92,72.3,-0.29,-0.29,0.08,-0.29,227,3,0.06,0.06,-0.06,0.31,0.32,0.14,0.19,60.7,84
1953,7,195307,0,0.43,0.74,-1.1,0.99,0.27,-0.71,-1.58,-99.9,-0.42,-99.9,45.6,2.34,76,-1.27,-1.27,-3.03,-1.27,366,0,-1.89,-1.21,-0.84,-0.42,0.2,-0.05,0.03,63.4,88.7
1953,8,195308,-1.2,-1.04,0.01,1.04,-0.54,-1.15,-1.41,0.32,-99.9,-1.4,-0.49,41.9,2.97,73.9,-1.86,-1.86,-2.18,-1.86,292,0,-0.72,-1.59,-1.34,-0.78,-0.64,-0.49,0.03,61.1,86.7
1954,6,195406,0.1,0.06,-0.69,-1.63,-1.64,0.09,0.58,0.2,-99.9,-1.06,-99.9,54,2.31,71.5,-2.79,-2.79,-1.88,-2.79,212,4,-1.41,-0.58,-0.77,-0.5,-0.98,-1.61,-1.09,58.5,84.4
1954,7,195407,0.4,-0.57,-0.3,-0.34,-1.79,-0.14,-1.5,0.52,-99.9,-1.37,-99.9,75.5,3.66,75.1,-2.99,-2.99,-1.48,-2.99,323,0,-0.66,-1.41,-0.81,-1.1,-0.86,-1.41,-1.12,62,88.2
1954,8,195408,1.1,-2.57,-0.57,1.89,0.83,-0.11,0.29,-0.45,-99.9,-0.19,-0.75,63.2,3.65,73.8,-3.09,-3.09,-1.21,-3.09,283,0,-0.2,-0.64,-1.17,-0.84,-0.65,-1.28,-1.57,62.4,85.2
1955,6,195506,1.3,-0.8,-1.3,0.7,-2.84,0.11,1.43,0.22,-99.9,-1.36,-99.9,58.3,3.96,66.6,-0.29,-1.35,1,-0.53,104,36,0.09,-0.51,-0.42,-0.24,0.29,-0.57,-1.54,54.6,78.6
1955,7,195507,1.6,1.78,-1.52,1.72,-1.49,-1.32,0.55,1.81,-99.9,0.19,-99.9,60.7,4.13,77.6,-0.57,-1.52,-0.94,-1.01,416,0,-0.27,-0.13,-0.55,0.18,-0.22,-0.42,-1.42,66.8,88.4
1955,8,195508,1.5,1.25,-0.75,-1.19,0.61,-0.55,1.44,2.42,-99.9,0.54,0.92,59.1,9.05,75.4,1.61,1.61,4.84,1.61,340,0,2.15,1.83,1.48,1.26,0.78,0.6,-0.51,65.8,85.1
1956,6,195606,1.1,0.41,-0.66,-0.81,-1.95,-0.08,-1.47,0.66,-99.9,-0.53,-99.9,71.3,3.07,70.8,-0.79,-1.23,-0.88,-1.15,200,8,-0.63,-1.16,-0.91,-0.79,-1.64,-0.63,-0.82,58.7,82.9
1956,7,195607,1.1,-0.72,-0.45,0.58,0.48,-1.28,1.13,-0.13,-99.9,-2.37,-99.9,42.3,6.47,74.4,0.73,0.73,2.2,0.73,304,0,1.45,0.57,-0.08,0.21,-0.94,-0.14,-0.41,63.7,85.1
1956,8,195608,1.2,-1.89,-1.41,0.5,1.92,-0.23,-0.16,-0.45,-99.9,-0.96,1.4,76.7,3.14,73,0.29,0.29,-1.1,-0.37,259,1,-0.58,0.38,0,-0.5,-0.92,-1.22,-0.46,61.5,84.4
1957,6,195706,0.2,-0.42,0.11,-2,1.71,0.24,2.45,-0.64,-99.9,-0.88,-99.9,75.6,4.36,72.6,-0.64,-0.64,0.44,-0.64,249,2,0.38,-0.44,-0.1,0.22,0.31,0.52,-0.06,62,83.2
1957,7,195707,0.2,-1.16,-1.34,-0.73,-1.03,-0.11,-0.54,0.63,-99.9,-2.35,-99.9,68.1,2.12,74.6,-1.64,-1.64,-3.18,-1.64,316,0,-2.12,-1.06,-1.38,-0.67,-0.55,-0.27,-0.29,61.9,87.2
1957,8,195708,-0.5,-0.83,-1.3,1.87,0.49,-0.99,-1.81,-0.22,-99.9,-1.38,-0.29,53.9,3.44,71.8,-1.92,-1.92,-1.36,-1.92,232,2,-0.35,-1.47,-1.05,-1.25,-0.65,-0.16,-1.18,59.6,84
1958,6,195806,0.3,-1.08,1.14,1.51,3,1.48,0.38,0.31,-99.9,0.97,-99.9,63.5,4.27,69,2.85,2.85,1.16,2.85,139,18,0.32,0.67,1.04,1.11,1.35,1.15,1.28,57.7,80.3
