yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,CAPCP,CATAVG,CAPDSI,CAPHDI,CAZNDX,CAPMDI
1951,1,195101,1.5,-0.42,-1.47,-0.07,-0.81,-1.18,-0.74,0.23,-0.09,1.79,-99.9,56.1,1.72,37.4,-0.65,-0.65,-1.94,-0.65,0,846,-1.39,-0.68,-0.81,-0.54,0.22,-0.42,-0.13,26.2,48.5,2.34,30.2,1.48,1.48,0.49,0.89
1951,2,195102,0.9,0.35,-0.17,-0.58,-1.32,-2.11,-1.66,1.25,-1.3,1.23,-99.9,54.1,2.63,38.3,-0.79,-0.79,-0.64,-0.79,0,751,-0.2,-1.12,-0.74,-0.39,-0.36,-0.36,-0.13,26.2,50.3,2.27,34.54,1.62,1.62,0.89,1.31
1951,12,195112,-0.7,1.13,0.21,0.2,-99.9,-1.59,0.04,-0.71,0.58,0.47,-99.9,69,4.43,38.5,0.99,0.99,1.85,0.99,0,815,0.94,1.34,0.53,-0.45,-0.03,-0.44,-0.39,27.8,49.2,2.6,38.55,1.78,1.78,0.98,1.78
1952,1,195201,-0.9,0.57,-2.26,1.43,1.59,-3.19,-1.07,-0.5,-0.21,-0.27,-99.9,85.2,4.77,40.2,1.5,1.5,1.82,1.5,0,775,1.14,1.33,1.6,0.07,0.17,0.13,-0.18,30.2,50.1,2.35,49.73,1.65,1.65,0.15,1.65
1952,2,195202,-0.6,-1.38,-1.84,0.88,-1.09,0.08,-1.46,-0.75,0.07,0.02,-99.9,76.7,2.84,39.6,1.18,1.18,-0.47,0.85,0,717,-0.03,0.8,1.1,0.29,0.36,0.2,-0.13,29,50.1,2.37,60.76,0.92,0.92,1.66,0.01
1952,12,195212,-1.2,-0.49,-1.31,0.71,-99.9,0.63,-0.26,0.85,-1.89,0.61,-99.9,76,2.86,37,0.46,-0.72,-0.02,0.21,0,872,-0.22,0.94,0.12,0.04,0.05,0.48,0.09,27.6,46.3,3.44,66.65,1.54,1.54,2.14,1.54
1953,1,195301,0.3,-0.12,-2.69,-1.24,0.24,0.18,0.84,-0.09,-0.74,-0.06,-99.9,68.6,3.41,39.9,0.44,-0.62,0.07,0.34,2,781,0.27,-0.02,0.84,0.28,-0.18,0.21,0.26,30.2,49.6,2.85,73.69,1.64,1.64,0.78,1.64
1953,2,195302,-0.5,-1,-1.34,1.38,-1.51,1.04,-0.25,-0.61,1.04,1.09,-99.9,84.1,3.22,40.9,0.37,-0.57,-0.05,0.35,0,670,0.27,0.29,0.1,0.01,-0.17,0.32,0.33,29.9,51.9,2.61,71.89,1.62,1.62,0.42,1.62
1953,12,195312,-0.5,-0.52,-1.05,0.84,-99.9,0.96,0.73,1.03,1.4,1.36,-99.9,70.3,3.56,38.4,-3.65,-3.65,-0.94,-3.65,0,808,0.33,-0.48,-1,-1.92,-1.65,-1.17,-0.42,27.9,48.8,2.57,64.09,1.64,1.64,0.57,1.64
1954,1,195401,0.7,-0.08,-2.49,-0.26,0.6,-2.11,0.52,0.77,-0.3,0.55,-99.9,56,4.4,36,-2.95,-2.95,0.97,-2.51,0,910,0.92,0.8,0.1,-0.97,-1.3,-0.98,-0.51,25.3,46.7,2.3,54,1.67,1.67,0.59,1.67
1954,2,195402,-0.3,0.4,-1.02,-0.67,-1.75,-0.48,0.03,1.63,-1.4,0.95,-99.9,69.6,1.68,41.8,-3.4,-3.4,-2.26,-3.4,0,647,-1.06,-0.02,0.16,-0.98,-1.65,-1.31,-0.67,29.6,54,2.43,38.08,1.95,1.95,1.36,1.95
1954,12,195412,1.4,0.55,-1.6,-1.42,-99.9,-0.82,-0.58,3.06,-1.18,3.08,-99.9,73.2,3.42,35,-2.35,-2.35,0.78,-1.68,0,924,0.22,0.17,0.72,-0.45,-0.71,-0.67,-1.36,25.4,44.5,3.12,31.23,2.69,2.69,2.82,2.69
1955,1,195501,-0.5,-2.65,-0.24,0.4,-1.32,-0.14,-0.79,-1.36,0.4,1.39,-99.9,68.7,1.24,33.1,-2.88,-2.88,-2.31,-2.88,0,987,-2.22,-0.94,-0.71,-0.76,-1.07,-1.27,-1.58,23.5,42.8,2.44,32,3.19,3.19,2.33,3.19
1955,2,195502,1.9,-1.71,0.03,-0.66,-1.71,-2.62,-1.69,-0.87,-0.09,-0.26,-99.9,71.3,3.78,37.2,0.35,-2.24,1.04,-1.75,0,786,0.68,-0.67,-0.38,-0.39,-1.05,-0.89,-1.51,25.3,49.2,2,35.46,2.85,2.85,0.03,2.78
1955,12,195512,1,0.07,0.35,-1.28,-99.9,-2.37,0.73,-0.42,-1.4,0.14,-99.9,72.2,0.99,32.3,-1.02,-1.02,-2.14,-1.02,0,1016,-1.99,-1.91,-1.63,-0.06,-0.21,-0.22,-0.59,22,42.7,2.93,37.69,3.28,3.28,2.18,3.28
1956,1,195601,1.3,-0.76,-2.27,-2.87,-0.39,-2.34,-0.74,-0.23,-3.26,-0.04,-99.9,82.6,1.62,32.7,-1.52,-1.52,-1.8,-1.52,0,999,-1.53,-2.49,-2.43,-0.41,-0.6,-0.16,-0.98,23.4,41.9,2.4,51.66,0.13,2.81,0.4,2.59
